Example response to /action,41743
/fx/7/fxparam/7/name ('',)
/fx/7/fxparam/7/value/str ('',)
/fx/7/fxparam/7/value (0.0,)
/fx/7/fxparam/8/name ('',)
/fx/7/fxparam/8/value/str ('',)
/fx/7/fxparam/8/value (0.0,)
/fx/7/fxparam/9/name ('',)
/fx/7/fxparam/9/value/str ('',)
/fx/7/fxparam/9/value (0.0,)
/fx/7/fxparam/10/name ('',)
/fx/7/fxparam/10/value/str ('',)
/fx/7/fxparam/10/value (0.0,)
/fx/7/fxparam/11/name ('',)
/fx/7/fxparam/11/value/str ('',)
/fx/7/fxparam/11/value (0.0,)
/fx/7/fxparam/12/name ('',)
/fx/7/fxparam/12/value/str ('',)
/fx/7/fxparam/12/value (0.0,)
/fx/7/fxparam/13/name ('',)
/fx/7/fxparam/13/value/str ('',)
/fx/7/fxparam/13/value (0.0,)
/fx/7/fxparam/14/name ('',)
/fx/7/fxparam/14/value/str ('',)
/fx/7/fxparam/14/value (0.0,)
/fx/7/fxparam/15/name ('',)
/fx/7/fxparam/15/value/str ('',)
/fx/7/fxparam/15/value (0.0,)
/fx/7/fxparam/16/name ('',)
/fx/7/fxparam/16/value/str ('',)
/fx/7/fxparam/16/value (0.0,)
/fx/8/name ('',)
/fx/8/number/str ('',)
/fx/8/preset ('',)
/fx/8/bypass (0.0,)
/fx/8/openui (0.0,)
/fx/8/fxparam/1/name ('',)
/fx/8/fxparam/1/value/str ('',)
/fx/8/fxparam/1/value (0.0,)
/fx/8/fxparam/2/name ('',)
/fx/8/fxparam/2/value/str ('',)
/fx/8/fxparam/2/value (0.0,)
/fx/8/fxparam/3/name ('',)
/fx/8/fxparam/3/value/str ('',)
/fx/8/fxparam/3/value (0.0,)
/fx/8/fxparam/4/name ('',)
/fx/8/fxparam/4/value/str ('',)
/fx/8/fxparam/4/value (0.0,)
/fx/8/fxparam/5/name ('',)
/fx/8/fxparam/5/value/str ('',)
/fx/8/fxparam/5/value (0.0,)
/fx/8/fxparam/6/name ('',)
/fx/8/fxparam/6/value/str ('',)
/fx/8/fxparam/6/value (0.0,)
/fx/8/fxparam/7/name ('',)
/fx/8/fxparam/7/value/str ('',)
/fx/8/fxparam/7/value (0.0,)
/fx/8/fxparam/8/name ('',)
/fx/8/fxparam/8/value/str ('',)
/fx/8/fxparam/8/value (0.0,)
/fx/8/fxparam/9/name ('',)
/fx/8/fxparam/9/value/str ('',)
/fx/8/fxparam/9/value (0.0,)
/fx/8/fxparam/10/name ('',)
/fx/8/fxparam/10/value/str ('',)
/fx/8/fxparam/10/value (0.0,)
/fx/8/fxparam/11/name ('',)
/fx/8/fxparam/11/value/str ('',)
/fx/8/fxparam/11/value (0.0,)
/fx/8/fxparam/12/name ('',)
/fx/8/fxparam/12/value/str ('',)
/fx/8/fxparam/12/value (0.0,)
/fx/8/fxparam/13/name ('',)
/fx/8/fxparam/13/value/str ('',)
/fx/8/fxparam/13/value (0.0,)
/fx/8/fxparam/14/name ('',)
/fx/8/fxparam/14/value/str ('',)
/fx/8/fxparam/14/value (0.0,)
/fx/8/fxparam/15/name ('',)
/fx/8/fxparam/15/value/str ('',)
